# Wireframe Export - Vector Relation Format
# Vertices:,96
# Edges:,138

# VERTICES
vertex_id,x,y,z
0,1.5,-5.0,0.0
1,1.5,-1.7000000476837158,0.0
2,1.5,-5.0,3.0
3,1.5,-1.7000000476837158,3.0
4,-1.5,-5.0,0.0
5,1.5,-5.0,0.0
6,-1.5,-5.0,3.0
7,1.5,-5.0,3.0
8,-1.5,-1.7000000476837158,0.0
9,-1.5,-5.0,0.0
10,-1.5,-1.7000000476837158,3.0
11,-1.5,-5.0,3.0
12,-7.800000190734863,-1.7000000476837158,0.0
13,-1.5,-1.7000000476837158,0.0
14,-7.800000190734863,-1.7000000476837158,3.0
15,-1.5,-1.7000000476837158,3.0
16,-7.800000190734863,5.0,-0.0
17,-7.800000190734863,-1.7000000476837158,0.0
18,-7.800000190734863,5.0,3.0
19,-7.800000190734863,-1.7000000476837158,3.0
20,-5.800000190734863,5.0,-0.0
21,-7.800000190734863,5.0,-0.0
22,-5.800000190734863,5.0,3.0
23,-7.800000190734863,5.0,3.0
24,-5.800000190734863,-0.20000000298023224,0.0
25,-5.800000190734863,5.0,-0.0
26,-5.800000190734863,-0.20000000298023224,3.0
27,-5.800000190734863,5.0,3.0
28,-1.5,-0.20000000298023224,0.0
29,-5.800000190734863,-0.20000000298023224,0.0
30,-1.5,-0.20000000298023224,3.0
31,-5.800000190734863,-0.20000000298023224,3.0
32,-1.5,5.0,-0.0
33,-1.5,-0.20000000298023224,0.0
34,-1.5,5.0,3.0
35,-1.5,-0.20000000298023224,3.0
36,1.5,5.0,-0.0
37,-1.5,5.0,-0.0
38,1.5,5.0,3.0
39,-1.5,5.0,3.0
40,1.5,-0.20000000298023224,0.0
41,1.5,5.0,-0.0
42,1.5,-0.20000000298023224,3.0
43,1.5,5.0,3.0
44,5.800000190734863,-0.20000000298023224,0.0
45,1.5,-0.20000000298023224,0.0
46,5.800000190734863,-0.20000000298023224,3.0
47,1.5,-0.20000000298023224,3.0
48,5.800000190734863,5.0,-0.0
49,5.800000190734863,-0.20000000298023224,0.0
50,5.800000190734863,5.0,3.0
51,5.800000190734863,-0.20000000298023224,3.0
52,7.800000190734863,5.0,-0.0
53,5.800000190734863,5.0,-0.0
54,7.800000190734863,5.0,3.0
55,5.800000190734863,5.0,3.0
56,7.800000190734863,-1.7000000476837158,0.0
57,7.800000190734863,5.0,-0.0
58,7.800000190734863,-1.7000000476837158,3.0
59,7.800000190734863,5.0,3.0
60,1.5,-1.7000000476837158,0.0
61,7.800000190734863,-1.7000000476837158,0.0
62,1.5,-1.7000000476837158,3.0
63,7.800000190734863,-1.7000000476837158,3.0
64,7.800000190734863,-1.7000000476837158,3.0
65,5.800000190734863,-0.20000000298023224,3.0
66,1.5,-1.7000000476837158,3.0
67,1.5,-0.20000000298023224,3.0
68,-1.5,-1.7000000476837158,3.0
69,-1.5,-0.20000000298023224,3.0
70,-5.800000190734863,-0.20000000298023224,3.0
71,7.800000190734863,5.0,3.0
72,5.800000190734863,5.0,3.0
73,1.5,5.0,3.0
74,-1.5,5.0,3.0
75,-5.800000190734863,5.0,3.0
76,-7.800000190734863,5.0,3.0
77,-7.800000190734863,-1.7000000476837158,3.0
78,-1.5,-5.0,3.0
79,1.5,-5.0,3.0
80,7.800000190734863,5.0,-0.0
81,7.800000190734863,-1.7000000476837158,0.0
82,5.800000190734863,-0.20000000298023224,0.0
83,1.5,-1.7000000476837158,0.0
84,1.5,-0.20000000298023224,0.0
85,-1.5,-1.7000000476837158,0.0
86,-1.5,-0.20000000298023224,0.0
87,-5.800000190734863,-0.20000000298023224,0.0
88,-7.800000190734863,-1.7000000476837158,0.0
89,-7.800000190734863,5.0,-0.0
90,1.5,-5.0,0.0
91,-1.5,-5.0,0.0
92,-5.800000190734863,5.0,-0.0
93,-1.5,5.0,-0.0
94,1.5,5.0,-0.0
95,5.800000190734863,5.0,-0.0

# EDGES
edge_id,vertex1_id,vertex2_id,x1,y1,z1,x2,y2,z2
0,0,1,1.5,-5.0,0.0,1.5,-1.7000000476837158,0.0
1,1,2,1.5,-1.7000000476837158,0.0,1.5,-5.0,3.0
2,0,2,1.5,-5.0,0.0,1.5,-5.0,3.0
3,1,3,1.5,-1.7000000476837158,0.0,1.5,-1.7000000476837158,3.0
4,2,3,1.5,-5.0,3.0,1.5,-1.7000000476837158,3.0
5,4,5,-1.5,-5.0,0.0,1.5,-5.0,0.0
6,5,6,1.5,-5.0,0.0,-1.5,-5.0,3.0
7,4,6,-1.5,-5.0,0.0,-1.5,-5.0,3.0
